clm_index,clm_pft,fates_pft,fates_index
0,not_vegetated,not_vegetated,0
1,needleleaf_evergreen_temperate_tree,needleleaf_evergreen_extratrop_tree,2
2,needleleaf_evergreen_boreal_tree,needleleaf_evergreen_extratrop_tree,2
3,needleleaf_deciduous_boreal_tree,needleleaf_colddecid_extratrop_tree,3
4,broadleaf_evergreen_tropical_tree,broadleaf_evergreen_tropical_tree,1
5,broadleaf_evergreen_temperate_tree,broadleaf_evergreen_extratrop_tree,4
6,broadleaf_deciduous_tropical_tree,broadleaf_hydrodecid_tropical_tree,5
7,broadleaf_deciduous_temperate_tree,broadleaf_colddecid_extratrop_tree,6
8,broadleaf_deciduous_boreal_tree,broadleaf_colddecid_extratrop_tree,6
9,broadleaf_evergreen_shrub,broadleaf_evergreen_extratrop_shrub,7
10,broadleaf_deciduous_temperate_shrub,broadleaf_colddecid_extratrop_shrub,9
11,broadleaf_deciduous_boreal_shrub,broadleaf_colddecid_arctic_shrub,11
12,c3_arctic_grass,arctic_c3_grass,12
13,c3_non-arctic_grass,cool_c3_grass,13
14,c4_grass,c4_grass,14
15,c3_crop,c3_crop,15
16,c3_irrigated,c3_irrigated,16
